id,degree,is_paying,bachelor_course,master_couse,specialty,SDistrict,plan_to_move_to_distant,payments_for_distant,self_efficiency
555207,В специалитете,На месте с оплатой обучения,2 курс,NA,"Оборона и безопасность государства, военные науки",СФО,NA,NA,Скорее не согласен(-на)
555214,В бакалавриате,На бюджетном месте,4 курс,NA,Экономика и менеджмент,ПФО,NA,NA,Затрудняюсь ответить
555233,В бакалавриате,На бюджетном месте,4 курс,NA,"Инженерное дело, технологии, технические науки",ЦФО,NA,NA,Полностью согласен(-на)
555235,В специалитете,На бюджетном месте,5 курс,NA,Здравоохранение и медицинские науки,ЦФО,NA,9000,Полностью согласен(-на)
555238,В бакалавриате,На месте с оплатой обучения,2 курс,NA,Искусство и культура,СФО,NA,NA,Скорее согласен(-на)
555240,В бакалавриате,На месте с оплатой обучения,4 курс,NA,Экономика и менеджмент,ЦФО,NA,NA,Абсолютно не согласен(-на)
555242,В бакалавриате,На месте с оплатой обучения,2 курс,NA,Экономика и менеджмент,ЦФО,NA,NA,Скорее не согласен(-на)
555243,В бакалавриате,На бюджетном месте,1 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",ЦФО,NA,NA,Полностью согласен(-на)
555249,В бакалавриате,На месте с оплатой обучения,2 курс,NA,Экономика и менеджмент,ЦФО,NA,NA,Абсолютно не согласен(-на)
555250,В бакалавриате,На месте с оплатой обучения,3 курс,NA,"Социальные науки (социология, психология и т.д.)",ЦФО,NA,NA,Полностью согласен(-на)
555255,В бакалавриате,На месте с оплатой обучения,3 курс,NA,"Инженерное дело, технологии, технические науки",ЦФО,NA,NA,Полностью согласен(-на)
555267,В бакалавриате,На месте с оплатой обучения,1 курс,NA,Математика,ЦФО,NA,NA,Скорее согласен(-на)
555269,В бакалавриате,На бюджетном месте,1 курс,NA,"Инженерное дело, технологии, технические науки",ПФО,NA,NA,Скорее согласен(-на)
555274,В специалитете,На месте с оплатой обучения,3 курс,NA,"Оборона и безопасность государства, военные науки",СФО,NA,NA,Полностью согласен(-на)
555279,В бакалавриате,На бюджетном месте,1 курс,NA,Затрудняюсь ответить,ПФО,NA,NA,Полностью согласен(-на)
555283,В бакалавриате,На бюджетном месте,1 курс,NA,"Социальные науки (социология, психология и т.д.)",ЦФО,NA,NA,Скорее не согласен(-на)
555291,В специалитете,На месте с оплатой обучения,5 курс,NA,Экономика и менеджмент,ЦФО,NA,NA,Абсолютно не согласен(-на)
555295,В бакалавриате,На бюджетном месте,3 курс,NA,Искусство и культура,УФО,NA,NA,Скорее согласен(-на)
555298,В бакалавриате,На бюджетном месте,1 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",СЗФО,NA,NA,Абсолютно не согласен(-на)
555305,В бакалавриате,На бюджетном месте,2 курс,NA,"Инженерное дело, технологии, технические науки",ДВФО,NA,NA,Полностью согласен(-на)
555309,В бакалавриате,На бюджетном месте,3 курс,NA,Экономика и менеджмент,ЦФО,NA,NA,Скорее не согласен(-на)
555320,В бакалавриате,На бюджетном месте,2 курс,NA,Экономика и менеджмент,СЗФО,NA,NA,Полностью согласен(-на)
555335,В бакалавриате,На месте с оплатой обучения,2 курс,NA,Экономика и менеджмент,ЦФО,NA,NA,Скорее не согласен(-на)
555338,В бакалавриате,На месте с оплатой обучения,4 курс,NA,Экономика и менеджмент,ЦФО,NA,NA,Абсолютно не согласен(-на)
555343,В бакалавриате,На бюджетном месте,2 курс,NA,Экономика и менеджмент,ЦФО,NA,NA,Скорее не согласен(-на)
555344,В бакалавриате,На бюджетном месте,1 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",ЮФО,NA,NA,Скорее согласен(-на)
555350,В бакалавриате,На бюджетном месте,4 курс,NA,"Инженерное дело, технологии, технические науки",ПФО,NA,NA,Скорее не согласен(-на)
555352,В специалитете,На бюджетном месте,2 курс,NA,Компьютерные науки,ЦФО,NA,NA,Скорее не согласен(-на)
555370,В магистратуре,На бюджетном месте,NA,1 курс,"Социальные науки (социология, психология и т.д.)",ЦФО,NA,NA,Скорее не согласен(-на)
555371,В специалитете,На бюджетном месте,1 курс,NA,Сельское хозяйство и сельскохозяйственные науки,ПФО,NA,NA,Скорее не согласен(-на)
555372,В бакалавриате,На бюджетном месте,4 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",СЗФО,NA,NA,Скорее не согласен(-на)
555378,В бакалавриате,На бюджетном месте,1 курс,NA,Искусство и культура,УФО,NA,NA,Скорее согласен(-на)
555386,В бакалавриате,На месте с оплатой обучения,4 курс,NA,"Социальные науки (социология, психология и т.д.)",ЦФО,NA,NA,Абсолютно не согласен(-на)
555387,В магистратуре,На бюджетном месте,NA,1 курс,"Инженерное дело, технологии, технические науки",СФО,NA,NA,Скорее не согласен(-на)
555404,В специалитете,На бюджетном месте,3 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",ДВФО,NA,NA,Полностью согласен(-на)
555407,В бакалавриате,На месте с оплатой обучения,1 курс,NA,Компьютерные науки,ЦФО,NA,NA,Скорее согласен(-на)
555408,В бакалавриате,На бюджетном месте,2 курс,NA,Здравоохранение и медицинские науки,ПФО,NA,NA,Скорее согласен(-на)
555417,В бакалавриате,На бюджетном месте,4 курс,NA,"Инженерное дело, технологии, технические науки",УФО,NA,NA,Скорее согласен(-на)
555432,В бакалавриате,На бюджетном месте,1 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",ПФО,NA,NA,Полностью согласен(-на)
555442,В бакалавриате,На бюджетном месте,4 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",ЮФО,NA,NA,Скорее не согласен(-на)
555454,В бакалавриате,На бюджетном месте,2 курс,NA,Образование и педагогические науки,ПФО,NA,NA,Полностью согласен(-на)
555455,В бакалавриате,На месте с оплатой обучения,3 курс,NA,Экономика и менеджмент,ЦФО,NA,NA,Затрудняюсь ответить
555457,В специалитете,На месте с оплатой обучения,3 курс,NA,"Социальные науки (социология, психология и т.д.)",ЦФО,NA,NA,Скорее не согласен(-на)
555468,В специалитете,На бюджетном месте,3 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",ЦФО,NA,NA,Полностью согласен(-на)
555470,В бакалавриате,На бюджетном месте,3 курс,NA,Экономика и менеджмент,ЦФО,NA,NA,Абсолютно не согласен(-на)
555472,В бакалавриате,На месте с оплатой обучения,4 курс,NA,"Социальные науки (социология, психология и т.д.)",ЦФО,NA,NA,Абсолютно не согласен(-на)
555473,В бакалавриате,На бюджетном месте,1 курс,NA,Образование и педагогические науки,ЦФО,NA,NA,Скорее согласен(-на)
555475,В бакалавриате,На бюджетном месте,2 курс,NA,Компьютерные науки,ДВФО,NA,NA,Скорее согласен(-на)
555479,В бакалавриате,На бюджетном месте,2 курс,NA,"Инженерное дело, технологии, технические науки",ПФО,NA,NA,Полностью согласен(-на)
555480,В бакалавриате,На бюджетном месте,2 курс,NA,"Инженерное дело, технологии, технические науки",СЗФО,NA,NA,NA
555486,В бакалавриате,На бюджетном месте,2 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",ПФО,NA,NA,Скорее согласен(-на)
555491,В бакалавриате,На месте с оплатой обучения,3 курс,NA,Экономика и менеджмент,ЦФО,NA,NA,Скорее согласен(-на)
555494,В магистратуре,На бюджетном месте,NA,2 курс,"Инженерное дело, технологии, технические науки",СФО,NA,NA,Скорее согласен(-на)
555498,В специалитете,На месте с оплатой обучения,1 курс,NA,"Оборона и безопасность государства, военные науки",ЦФО,NA,NA,Абсолютно не согласен(-на)
555512,В бакалавриате,На месте с оплатой обучения,2 курс,NA,Экономика и менеджмент,ЦФО,NA,NA,Скорее не согласен(-на)
555516,В специалитете,На бюджетном месте,3 курс,NA,"Инженерное дело, технологии, технические науки",УФО,NA,NA,Скорее не согласен(-на)
555517,В бакалавриате,На бюджетном месте,2 курс,NA,"Социальные науки (социология, психология и т.д.)",ЮФО,NA,NA,Скорее не согласен(-на)
555521,В специалитете,На бюджетном месте,3 курс,NA,Экономика и менеджмент,ПФО,NA,NA,Абсолютно не согласен(-на)
555524,В магистратуре,На бюджетном месте,NA,1 курс,"Естественные науки (химия, биология, физика и т.д.)",ЦФО,NA,NA,Скорее не согласен(-на)
555528,В бакалавриате,На месте с оплатой обучения,3 курс,NA,Экономика и менеджмент,ПФО,NA,NA,Абсолютно не согласен(-на)
555532,В специалитете,На месте с оплатой обучения,3 курс,NA,Здравоохранение и медицинские науки,ЦФО,NA,NA,Скорее согласен(-на)
555543,В бакалавриате,На месте с оплатой обучения,4 курс,NA,"Социальные науки (социология, психология и т.д.)",ДВФО,NA,NA,Полностью согласен(-на)
555547,В специалитете,На месте с оплатой обучения,3 курс,NA,Затрудняюсь ответить,ЦФО,NA,NA,Скорее согласен(-на)
555550,В специалитете,На месте с оплатой обучения,2 курс,NA,Экономика и менеджмент,ЦФО,NA,NA,Затрудняюсь ответить
555551,В бакалавриате,На бюджетном месте,2 курс,NA,Образование и педагогические науки,УФО,NA,NA,Скорее согласен(-на)
555563,В бакалавриате,На бюджетном месте,4 курс,NA,Компьютерные науки,ЦФО,NA,NA,Скорее не согласен(-на)
555564,В бакалавриате,На бюджетном месте,3 курс,NA,Образование и педагогические науки,ЦФО,NA,NA,Скорее согласен(-на)
